latitude,longitude,acq_date,acq_time,satellite,confidence
-35.1593,-68.3238,2000-12-03,1510,Terra,68
-38.7752,-64897,2000-12-03,1511,Terra,60
-38.0495,-68.8594,2000-12-04,312,Terra,100
-34.9285,-65.7891,2000-12-04,312,Terra,17
-34.9203,-65.7823,2000-12-04,312,Terra,21
-32.7602,-63.7609,2000-12-04,313,Terra,19
-27.5284,-57.7085,2000-12-04,1412,Terra,57
-29.1237,-56.5781,2000-12-04,1412,Terra,0
-31.2574,-61.4848,2000-12-04,1413,Terra,15
-33681,-59.6632,2000-12-04,1414,Terra,30
-34417,-59.1422,2000-12-04,1414,Terra,66
-34.4605,-58.9155,2000-12-04,1414,Terra,33
-34.6118,-58.9492,2000-12-04,1414,Terra,39
-34.6501,-59.4272,2000-12-04,1414,Terra,46
-33.8972,-65.1973,2000-12-04,1414,Terra,77
-35054,-58765,2000-12-04,1414,Terra,39
-35.0556,-58.7541,2000-12-04,1414,Terra,58
-34.8994,-60.0142,2000-12-04,1414,Terra,28
-35.1676,-58.2305,2000-12-04,1414,Terra,43
-35.1885,-59.1004,2000-12-04,1414,Terra,31
-35.1203,-60.4848,2000-12-04,1414,Terra,40
-34.5493,-63781,2000-12-04,1414,Terra,59
-36.3536,-56.7286,2000-12-04,1414,Terra,0
-34.9231,-65.7768,2000-12-04,1414,Terra,75
-34.9352,-65.7804,2000-12-04,1414,Terra,45
-36.5403,-56.7004,2000-12-04,1414,Terra,31
-36.9952,-57.1391,2000-12-04,1415,Terra,32
-36.7749,-59.0866,2000-12-04,1415,Terra,38
-36.7784,-59.8634,2000-12-04,1415,Terra,40
-36.7801,-59.8522,2000-12-04,1415,Terra,27
-37.1542,-58.4851,2000-12-04,1415,Terra,60
-37.3284,-59.1369,2000-12-04,1415,Terra,62
-37.8467,-58.2599,2000-12-04,1415,Terra,47
-37.8483,-58.2482,2000-12-04,1415,Terra,36
-38.2685,-57.8475,2000-12-04,1415,Terra,20
-38.4031,-62.1993,2000-12-04,1415,Terra,73
-38.4052,-62.1868,2000-12-04,1415,Terra,68
-38.9008,-68.2025,2000-12-05,354,Terra,76
-38.9031,-68.2159,2000-12-05,354,Terra,51
-24.2344,-63.9972,2000-12-05,1454,Terra,38
-24.2949,-63.9116,2000-12-05,1454,Terra,76
-25.1695,-62757,2000-12-05,1454,Terra,55
-26.0257,-61.5353,2000-12-05,1455,Terra,68
-26.0296,-64.3551,2000-12-05,1455,Terra,91
-26.0311,-64.3433,2000-12-05,1455,Terra,59
-26.3578,-61.4952,2000-12-05,1455,Terra,33
-26.0393,-64.3566,2000-12-05,1455,Terra,87
-26.0408,-64.3448,2000-12-05,1455,Terra,65
-28.5747,-60.3899,2000-12-05,1455,Terra,66
-29412,-60.9768,2000-12-05,1456,Terra,65
-29414,-60955,2000-12-05,1456,Terra,74
-30.6767,-64.3655,2000-12-05,1456,Terra,48
-30.7279,-64.8019,2000-12-05,1456,Terra,38
-31.2505,-61.4904,2000-12-05,1456,Terra,33
-30.9805,-64.0932,2000-12-05,1456,Terra,53
-31.2509,-61.4972,2000-12-05,1456,Terra,53
-31.2528,-61.4756,2000-12-05,1456,Terra,44
-32.3227,-64.8722,2000-12-05,1456,Terra,64
-32.3347,-64859,2000-12-05,1456,Terra,59
-32.6848,-65.0742,2000-12-05,1457,Terra,39
-32.6923,-65.0819,2000-12-05,1457,Terra,62
-32.6938,-65.0683,2000-12-05,1457,Terra,77
-33.0345,-68.8691,2000-12-05,1457,Terra,10
-35.0545,-60.4656,2000-12-05,1457,Terra,64
-34.7087,-66567,2000-12-05,1457,Terra,94
-34.7184,-66.5687,2000-12-05,1457,Terra,81
-35.3438,-61.9084,2000-12-05,1457,Terra,60
-35.3458,-61.8845,2000-12-05,1457,Terra,59
-35.3438,-61.8911,2000-12-05,1457,Terra,63
-35.0117,-67.6014,2000-12-05,1457,Terra,78
-37.0545,-66.8105,2000-12-05,1458,Terra,76
-40.6947,-63.7584,2000-12-06,258,Terra,25
-33.3713,-60.1579,2000-12-06,300,Terra,74
-29546,-63.1329,2000-12-06,301,Terra,34
-27.4028,-57.6101,2000-12-06,302,Terra,50
-26.0391,-64.3541,2000-12-06,302,Terra,62
-25.2937,-63.8995,2000-12-06,302,Terra,64
-25.2952,-63.9112,2000-12-06,302,Terra,82
-24.2903,-63.9206,2000-12-06,303,Terra,37
-23.3909,-64.2023,2000-12-06,1359,Terra,54
-23.3894,-64.2098,2000-12-06,1359,Terra,44
-23.3995,-64.1657,2000-12-06,1359,Terra,37
-24.6425,-64.8812,2000-12-06,1359,Terra,14
-26.7267,-54.8719,2000-12-06,1359,Terra,33
