latitude,longitude,acq_date,acq_time,confidence
-25.0092,151.9167,11/1/2000,18,73
-24.9421,151.3539,11/1/2000,18,72
-24.8691,150.3658,11/1/2000,18,66
-25.2241,151.9984,11/1/2000,18,61
-25.2331,151.9968,11/1/2000,18,59
-25.3534,152.626,11/1/2000,18,88
-25.0233,150.1776,11/1/2000,18,75
-25.025,150.1886,11/1/2000,18,71
-25.0327,150.1758,11/1/2000,18,89
-25.0345,150.1868,11/1/2000,18,89
-25.127,150.3083,11/1/2000,18,62
-25.3642,151.8285,11/1/2000,18,65
-25.2577,151.072,11/1/2000,18,60
-25.1171,149.8032,11/1/2000,18,72
-25.5435,152.5442,11/1/2000,18,40
-25.2168,150.3522,11/1/2000,18,87
-25.2185,150.3629,11/1/2000,18,70
-25.4288,151.5236,11/1/2000,18,62
-25.3066,150.5545,11/1/2000,18,59
-25.3083,150.565,11/1/2000,18,57
-25.6877,152.7786,11/1/2000,18,56
-25.4883,150.9579,11/1/2000,18,78
-25.4974,150.9562,11/1/2000,18,59
-25.6917,150.5973,11/1/2000,18,68
-25.9455,150.5731,11/1/2000,18,79
-25.9471,150.5836,11/1/2000,18,86
-26.1193,151.7045,11/1/2000,18,65
-25.9514,150.5504,11/1/2000,18,71
-25.953,150.5609,11/1/2000,18,59
-26.2952,151.7117,11/1/2000,18,54
-24.8532,140.3743,11/1/2000,18,77
-27.4478,151.9133,11/1/2000,19,76
-27.5478,148.3325,11/1/2000,19,73
-27.56,148.3429,11/1/2000,19,78
-30.356,151.7422,11/1/2000,19,69
-30.5773,151.2968,11/1/2000,19,52
-30.5863,151.2951,11/1/2000,19,80
-30.7754,151.1438,11/1/2000,19,80
-31.7273,152.0351,11/1/2000,20,46
-31.554,147.0632,11/1/2000,20,73
-32.8238,151.7249,11/1/2000,20,43
-42.6353,147.3815,11/1/2000,23,33
-43.0075,146.8996,11/1/2000,23,62
-43.0093,146.9118,11/1/2000,23,91
-12.254,136.4101,11/1/2000,153,18
-12.2571,136.4031,11/1/2000,153,43
-12.2406,134.2524,11/1/2000,153,72
-12.2466,134.2457,11/1/2000,153,76
-12.2483,134.2582,11/1/2000,153,49
-12.2757,132.9447,11/1/2000,153,44
-12.7627,136.3999,11/1/2000,153,76
-12.775,136.3983,11/1/2000,153,94
-12.7775,136.3915,11/1/2000,153,26
-12.6346,134.4138,11/1/2000,153,59
-12.9942,135.8756,11/1/2000,153,41
-12.7505,131.0348,11/1/2000,153,33
-13.2402,130.4183,11/1/2000,153,57
-13.4242,131.503,11/1/2000,153,60
-14.049,134.4025,11/1/2000,154,46
-14.8549,134.4387,11/1/2000,154,73
-14.8002,131.8745,11/1/2000,154,88
-14.8096,131.8732,11/1/2000,154,98
-14.811,131.8833,11/1/2000,154,44
-14.6171,127.6082,11/1/2000,154,77
-15.0851,128.8398,11/1/2000,154,39
-15.7213,130.7814,11/1/2000,154,99
-15.7226,130.7909,11/1/2000,154,39
-15.6565,129.9502,11/1/2000,154,83
-15.8717,129.044,11/1/2000,154,49
-15.8807,129.0426,11/1/2000,154,65
-17.9175,140.1526,11/1/2000,154,78
-17.9352,140.151,11/1/2000,154,83
-17.9393,140.1938,11/1/2000,154,50
-16.4766,128.3603,11/1/2000,154,53
-16.4887,128.3779,11/1/2000,154,66
-17.9174,140.1458,11/1/2000,154,74
-17.9213,140.1887,11/1/2000,154,63
-17.9351,140.1441,11/1/2000,154,81
-17.939,140.187,11/1/2000,154,71
-16.8056,128.3971,11/1/2000,155,65
-16.8088,128.357,11/1/2000,155,44
-16.8132,128.386,11/1/2000,155,69
-16.8147,128.3957,11/1/2000,155,93
-17.29,130.4313,11/1/2000,155,81
-17.2913,130.4409,11/1/2000,155,57
-17.2745,130.2585,11/1/2000,155,91
-17.2758,130.268,11/1/2000,155,58
-17.2963,130.4108,11/1/2000,155,76
-17.2977,130.4204,11/1/2000,155,95
-17.299,130.4299,11/1/2000,155,100
-17.3004,130.4395,11/1/2000,155,94
-17.304,130.3999,11/1/2000,155,100
-17.3054,130.4095,11/1/2000,155,99
-17.3081,130.4286,11/1/2000,155,90
-17.3095,130.4382,11/1/2000,155,94
-18.5028,140.462,11/1/2000,155,44
-17.3167,130.4306,11/1/2000,155,86
-17.3181,130.4402,11/1/2000,155,73
-17.3177,130.3718,11/1/2000,155,58
-17.3078,130.2372,11/1/2000,155,57
-17.3268,130.3705,11/1/2000,155,93
-16.6534,125.9474,11/1/2000,155,71
-17.3454,130.4361,11/1/2000,155,72
-17.3467,130.4456,11/1/2000,155,85
-17.3572,130.4539,11/1/2000,155,29
-17.4269,130.4276,11/1/2000,155,50
-18.657,140.3898,11/1/2000,155,70
-18.6751,140.3882,11/1/2000,155,71
-18.6549,140.3829,11/1/2000,155,64
-18.673,140.3812,11/1/2000,155,69
-18.677,140.4267,11/1/2000,155,15
-18.7872,139.6754,11/1/2000,155,62
-17.6746,130.1663,11/1/2000,155,52
-18.7893,139.668,11/1/2000,155,71
-17.6914,130.154,11/1/2000,155,80
-17.8233,130.3037,11/1/2000,155,52
-17.8324,130.3023,11/1/2000,155,72
-17.8621,130.4453,11/1/2000,155,71
-17.8677,130.4282,11/1/2000,155,59
-17.8691,130.4378,11/1/2000,155,64
-17.8741,130.4075,11/1/2000,155,56
-17.8755,130.4171,11/1/2000,155,83
-17.891,130.3951,11/1/2000,155,55
-17.9595,130.8851,11/1/2000,155,100
-17.9609,130.8951,11/1/2000,155,78
-17.9646,130.8538,11/1/2000,155,88
-17.966,130.8638,11/1/2000,155,100
-17.9674,130.8737,11/1/2000,155,100
-17.9688,130.8837,11/1/2000,155,100
