latitude,longitude,acq_date,acq_time,satellite,confidence
-29.5161,-62.1004,11/1/2000,231,Terra,51
-28.2832,-61.6395,11/1/2000,232,Terra,60
-28.2825,-61.6447,11/1/2000,232,Terra,52
-26.0481,-54.4666,11/1/2000,232,Terra,90
-26.0389,-54.4681,11/1/2000,232,Terra,100
-26.3705,-64.4282,11/1/2000,232,Terra,97
-26.3732,-64.4712,11/1/2000,232,Terra,100
-26.3687,-64.4354,11/1/2000,232,Terra,100
-26.3716,-64.4783,11/1/2000,232,Terra,97
-25.4355,-63.574,11/1/2000,233,Terra,31
-25.0414,-64.3304,11/1/2000,233,Terra,74
-25.0441,-64.3705,11/1/2000,233,Terra,47
-25.0379,-64.3354,11/1/2000,233,Terra,83
-24.5297,-63.9801,11/1/2000,233,Terra,88
-24.5132,-63.9816,11/1/2000,233,Terra,49
-24.5236,-63.9858,11/1/2000,233,Terra,91
-22.9866,-63.7539,11/1/2000,233,Terra,65
-22.866,-63.7715,11/1/2000,233,Terra,48
-22.1783,-63.4472,11/1/2000,233,Terra,97
-22.181,-63.4788,11/1/2000,233,Terra,100
-22.1821,-63.4534,11/1/2000,233,Terra,95
-22.1849,-63.485,11/1/2000,233,Terra,82
-22.1667,-63.4549,11/1/2000,234,Terra,91
-22.1695,-63.4865,11/1/2000,234,Terra,80
-26.8491,-54.8182,11/1/2000,1330,Terra,32
-22.0159,-63.909,11/1/2000,1507,Terra,18
-22.1482,-63.6472,11/1/2000,1507,Terra,66
-22.1502,-63.6294,11/1/2000,1507,Terra,70
-22.1804,-63.4679,11/1/2000,1507,Terra,64
-22.8392,-63.9754,11/1/2000,1507,Terra,65
-22.9915,-63.7504,11/1/2000,1507,Terra,100
-22.9935,-63.7323,11/1/2000,1507,Terra,99
-22.9845,-63.7554,11/1/2000,1507,Terra,87
-22.9864,-63.7373,11/1/2000,1507,Terra,97
-22.9965,-63.7569,11/1/2000,1507,Terra,92
-22.9984,-63.7388,11/1/2000,1507,Terra,98
-23.482,-64.2371,11/1/2000,1507,Terra,94
-23.4839,-64.2202,11/1/2000,1507,Terra,75
-23.4778,-64.2424,11/1/2000,1507,Terra,70
-23.4796,-64.2254,11/1/2000,1507,Terra,73
-23.4895,-64.2439,11/1/2000,1507,Terra,78
-23.4913,-64.2269,11/1/2000,1507,Terra,78
-24.5247,-63.9698,11/1/2000,1507,Terra,33
-24.5893,-63.8712,11/1/2000,1507,Terra,41
-24.5914,-63.8523,11/1/2000,1507,Terra,55
-24.6356,-63.8251,11/1/2000,1507,Terra,38
-25.1647,-62.8177,11/1/2000,1508,Terra,42
-25.3479,-62.0019,11/1/2000,1508,Terra,65
-25.338,-62.0064,11/1/2000,1508,Terra,73
-33.1315,-68.5196,11/1/2000,1510,Terra,59
-33.5799,-69.0172,11/1/2000,1510,Terra,38
-34.0936,-66.2714,11/1/2000,1510,Terra,65
-34.1053,-66.2731,11/1/2000,1510,Terra,78
-34.1171,-66.2749,11/1/2000,1510,Terra,32
-34.127,-66.2955,11/1/2000,1510,Terra,79
-34.1288,-66.2765,11/1/2000,1510,Terra,91
-34.1406,-66.278,11/1/2000,1510,Terra,64
-43.2285,-71.5734,11/1/2000,1513,Terra,43
-43.9285,-71.0196,11/1/2000,1513,Terra,56
-25.4608,-63.0353,11/2/2000,315,Terra,59
-24.4225,-63.919,11/2/2000,316,Terra,86
-26.0256,-64.244,11/2/2000,1413,Terra,31
-26.0186,-64.2492,11/2/2000,1413,Terra,42
-26.5524,-62.9013,11/2/2000,1413,Terra,77
-28.1069,-61.6502,11/2/2000,1413,Terra,38
-28.1202,-61.6999,11/2/2000,1413,Terra,49
-28.1229,-61.6849,11/2/2000,1413,Terra,70
-29.2193,-60.9769,11/2/2000,1414,Terra,55
-29.8888,-62.66,11/2/2000,1414,Terra,44
-31.3947,-58.0249,11/2/2000,1414,Terra,61
-31.3963,-58.0144,11/2/2000,1414,Terra,0
-31.627,-58.5029,11/2/2000,1414,Terra,49
-32.225,-58.1377,11/2/2000,1414,Terra,0
-32.6231,-60.1568,11/2/2000,1414,Terra,49
-33.3681,-60.1567,11/2/2000,1415,Terra,58
-33.6782,-59.67,11/2/2000,1415,Terra,17
-34.4582,-58.9113,11/2/2000,1415,Terra,50
-34.1975,-60.7346,11/2/2000,1415,Terra,54
-34.2954,-60.2543,11/2/2000,1415,Terra,56
-34.6573,-59.4247,11/2/2000,1415,Terra,14
-34.7818,-58.8367,11/2/2000,1415,Terra,46
-34.6495,-60.4681,11/2/2000,1415,Terra,37
-34.8963,-60.0201,11/2/2000,1415,Terra,39
-35.1727,-58.2361,11/2/2000,1415,Terra,60
-35.1173,-60.4902,11/2/2000,1415,Terra,57
-35.1192,-60.4788,11/2/2000,1415,Terra,44
-35.5718,-58.0106,11/2/2000,1415,Terra,0
-35.4428,-60.8819,11/2/2000,1415,Terra,51
-35.452,-60.8841,11/2/2000,1415,Terra,45
-36.5402,-56.6997,11/2/2000,1415,Terra,24
-35.8094,-61.8951,11/2/2000,1415,Terra,28
-36.7251,-56.6826,11/2/2000,1415,Terra,0
-36.8652,-57.8795,11/2/2000,1415,Terra,59
-37.001,-57.135,11/2/2000,1415,Terra,57
-37.8421,-58.2587,11/2/2000,1416,Terra,38
-37.8513,-58.2606,11/2/2000,1416,Terra,46
-38.2641,-57.8431,11/2/2000,1416,Terra,44
-38.3814,-60.276,11/2/2000,1416,Terra,32
-23.0933,-64.2955,11/3/2000,1455,Terra,46
-24.2732,-63.6479,11/3/2000,1455,Terra,78
-24.2748,-63.6357,11/3/2000,1455,Terra,72
-24.7169,-63.0829,11/3/2000,1455,Terra,83
-24.7273,-63.0844,11/3/2000,1455,Terra,42
-25.1617,-64.0192,11/3/2000,1455,Terra,97
-25.1632,-64.0072,11/3/2000,1455,Terra,87
-25.2017,-64.2548,11/3/2000,1455,Terra,96
-25.2032,-64.2608,11/3/2000,1455,Terra,87
-25.2046,-64.2492,11/3/2000,1455,Terra,86
-25.205,-64.4031,11/3/2000,1455,Terra,67
-25.4328,-63.5533,11/3/2000,1455,Terra,48
-26.5579,-62.9028,11/3/2000,1456,Terra,75
